"text","intent"
"Какая погода в Москве","weather"
"Погода в Питере","weather"
"Что за погода на улице","weather"
"Сколько градусов","weather"
"Прогноз погоды","weather"
"Прогноз погоды на сегодня","weather"
"Какая погода будет завтра","weather"
"Погода на неделю","weather"
"Температура на улице","weather"
"На улице холодно","weather"
"Там дождь","weather"
"Погода в спб","weather"
"Погода в казани","weather"
"Погода в новосибирске","weather"
"Сколько градусов в екатеринбурге","weather"
"Погода в сочи","weather"
"Погода в нижнем новгороде","weather"
"Погода в ростове","weather"
"Температура в красноярске","weather"
"Погода в воронеже","weather"
"Погода в волгограде","weather"
"Погода в краснодаре","weather"
"Погода в саратове","weather"
"Погода в тюмени","weather"
"Погода в ижевске","weather"
"Погода в барнауле","weather"
"Погода в иркутске","weather"
"Погода в хабаровске","weather"
"Погода в кемерово","weather"
"Погода в туле","weather"
"Погода в ульяновске","weather"
"Погода в ярославле","weather"
"Погода в махачкале","weather"
"Погода в севастополе","weather"
"Погода в калининграде","weather"
"какая погода","weather"
"что за погода","weather"
"погода на сегодня","weather"
"какая погода будет","weather"
"температура на улице","weather"
"погода в москве","weather"
"сколько градусов в питере","weather"
"какая погода в казани","weather"
"погода в новосибирске","weather"
"сколько градусов в екатеринбурге","weather"
"погода в сочи","weather"
"какая погода во владивостоке","weather"
"что с погодой","weather"
"как погода","weather"
"погода на завтра","weather"
"температура воздуха","weather"
"на улице холодно","weather"
"там дождь","weather"
"погода в нижнем новгороде","weather"
"сколько в челябинске градусов","weather"
"какая погода в омске","weather"
"погода в самаре","weather"
"в ростове-на-дону погода","weather"
"погода в уфе","weather"
"температура в красноярске","weather"
"погода в перми","weather"
"что с погодой в воронеже","weather"
"погода в волгограде","weather"
"сколько в краснодаре","weather"
"погода в саратове","weather"
"какая погода в тюмени","weather"
"погода в ижевске","weather"
"погода в барнауле","weather"
"прогноз в иркутске","weather"
"погода в хабаровске","weather"
"погода в кемерово","weather"
"сколько в туле","weather"
"погода в ульяновске","weather"
"какая погода в ярославле","weather"
"погода в махачкале","weather"
"температура в севастополе","weather"
"прогноз в симферополе","weather"
"погода в калининграде","weather"
"сколько в санкт-петербурге","weather"
"какая погода в нижнем","weather"
"погода сегодня в россии","weather"
"скажи погоду","weather"
"погодка как","weather"
"как погодка","weather"
"что там с погодой","weather"
"Сколько времени","time"
"Который час","time"
"Текущее время","time"
"Что показывают часы","time"
"Скажи время","time"
"Какое сейчас время","time"
"Точное время","time"
"Сколько сейчас часов","time"
"Который сейчас час","time"
"Часы покажи","time"
"Время сейчас","time"
"Который час сейчас","time"
"Сколько на часах","time"
"Назови время","time"
"сколько времени","time"
"который час","time"
"текущее время","time"
"скажи время","time"
"время сейчас","time"
"Какое сегодня число","date"
"Какая сегодня дата","date"
