"text","intent"
"привет","greet"
"здравствуйте","greet"
"добрый день","greet"
"доброе утро","greet"
"добрый вечер","greet"
"здрасте","greet"
"приветствую","greet"
"хай","greet"
"салют","greet"
"здорово","greet"
"приветик","greet"
"здравствуй","greet"
"доброго времени суток","greet"
"приветствую вас","greet"
"всем привет","greet"
"привет-привет","greet"
"здравия желаю","greet"
"добрый день, чем могу помочь","greet"
"здравствуйте, это бот?","greet"
"привет, как дела","greet"
"здравствуйте, я по делу","greet"
"добрый вечерок","greet"
"утречко","greet"
"здравствуйте, можно вопрос","greet"
"приветик, как жизнь","greet"
"салют, народ","greet"
"здорово, что тут у вас","greet"
"привет, это тестовый диалог","greet"
"добрый день, погода сегодня","greet"
"здрасте, не подскажете","greet"
"хай, есть кто?","greet"
"приветствую, давно не виделись","greet"
"доброго здоровья","greet"
"здравствуйте, я хотел бы спросить","greet"
"привет, меня зовут","greet"
"здравствуйте, я новый пользователь","greet"
"добрый день, какая сегодня дата","greet"
"привет, я здесь впервые","greet"
"здравствуйте, бот, вы работаете?","greet"
"приветствую, начнём диалог","greet"
"здравия","greet"
"добрый денёк","greet"
"здравствуйте-здравствуйте","greet"
"приветствую вас снова","greet"
"хай-хай","greet"
"салют, как сам?","greet"
"здорово, приятель","greet"
"привет, как настроение?","greet"
"добрый день, я по поводу погоды","greet"
"здрасте, можно спросить?","greet"
"всем здравствуйте","greet"
"доброго утречка","greet"
"пока","farewell"
"до свидания","farewell"
"всего хорошего","farewell"
"до встречи","farewell"
"пока-пока","farewell"
"бывай","farewell"
"прощай","farewell"
"увидимся","farewell"
"до скорого","farewell"
"счастливо","farewell"
"всего доброго","farewell"
"до связи","farewell"
"покеда","farewell"
"чао","farewell"
"бай-бай","farewell"
"удачи","farewell"
"до завтра","farewell"
"пока, до новых встреч","farewell"
"прощайте","farewell"
"всех благ","farewell"
"бывайте","farewell"
"до вечера","farewell"
"до скорой встречи","farewell"
"счастливого пути","farewell"
"пока, спасибо за помощь","farewell"
"до свидания, всего доброго","farewell"
"ну всё, пока","farewell"
"ладно, бывай","farewell"
"увидимся позже","farewell"
"пока, не болей","farewell"
"чао-какао","farewell"
"прощайте, был рад","farewell"
"до связи, бот","farewell"
"всего","farewell"
"пока, до завтра","farewell"
"удачи тебе","farewell"
"счастливо оставаться","farewell"
"прощай, не скучай","farewell"
"до встречи, пока","farewell"
"пока-пока, удачи","farewell"
"давай, прощай","farewell"
"бывай здоров","farewell"
"всегда рад, но пока","farewell"
"до следующего раза","farewell"
"пока, хорошего дня","farewell"
"до свидания, спасибо","farewell"
"пока, до связи","farewell"
"ну всё, бывай","farewell"
"прощай, приятно было пообщаться","farewell"
"удачи во всём","farewell"
"до встречи, не скучай","farewell"
"счастливо, пока","farewell"
"до свидания, хорошего вечера","farewell"
"погода","weather"
"какая погода","weather"
"что за погода","weather"
"сколько градусов","weather"
"погода на сегодня","weather"
"прогноз погоды","weather"
"какая погода будет","weather"
"температура на улице","weather"
"погода в москве","weather"
"погода в питере","weather"
"какая погода в казани","weather"
"погода в новосибирске","weather"
"сколько градусов в екатеринбурге","weather"
"погода в сочи","weather"
"какая погода во владивостоке","weather"
"что с погодой","weather"
"как погода","weather"
"погода на завтра","weather"
"погода на неделю","weather"
"температура воздуха","weather"
"на улице холодно?","weather"
"там дождь?","weather"
"погода в спб","weather"
"погода в нижнем новгороде","weather"
"сколько в челябинске градусов","weather"
"какая погода в омске","weather"
"погода в самаре","weather"
"в ростове-на-дону погода","weather"
"погода в уфе","weather"
"температура в красноярске","weather"
"погода в перми","weather"
"что с погодой в воронеже","weather"
"погода в волгограде","weather"
"сколько в краснодаре","weather"
"погода в саратове","weather"
"какая погода в тюмени","weather"
"погода в ижевске","weather"
"погода в барнауле","weather"
"прогноз в иркутске","weather"
"погода в хабаровске","weather"
"погода в кемерово","weather"
"сколько в туле","weather"
"погода в ульяновске","weather"
"какая погода в ярославле","weather"
"погода в махачкале","weather"
"температура в севастополе","weather"
"прогноз в симферополе","weather"
"погода в калининграде","weather"
"сколько в санкт-петербурге","weather"
"какая погода в нижнем","weather"
"погода сегодня в россии","weather"
"скажи погоду","weather"
"погодка как?","weather"
"как погодка","weather"
"что там с погодой","weather"
"как дела","mood"
"как настроение","mood"
"что делаешь","mood"
"как ты","mood"
"как жизнь","mood"
"как сам","mood"
"как поживаешь","mood"
"как твои дела","mood"
"настроение","mood"
"как ты там","mood"
"как успехи","mood"
"как самочувствие","mood"
"как делишки","mood"
"как живется","mood"
"как у тебя дела","mood"
"что нового","mood"
"как ты поживаешь","mood"
"как настроение сегодня","mood"
"как жизнь молодая","mood"
"как оно","mood"
"что делаешь сейчас","mood"
"как ты вообще","mood"
"как ты себя чувствуешь","mood"
"как работа","mood"
"как отдыхается","mood"
"как настрой","mood"
"как самочувствие сегодня","mood"
"как ты сегодня","mood"
"какие новости","mood"
"как прошел день","mood"
"как ты тут","mood"
"как ты, бот","mood"
"как твое настроение","mood"
"что ты делаешь","mood"
"как у тебя жизнь","mood"
"как ты справляешься","mood"
"как жизнь в целом","mood"
"что нового у тебя","mood"
"как настроение, друг","mood"
"как дела, приятель","mood"
"как ты, давно не общались","mood"
"как поживаешь, бот","mood"
"как у тебя настроение сейчас","mood"
"как дела в этом чате","mood"
"как жизнь твоя","mood"
